52,0 0 1 10 0,0 0 1 10 0,52,0,0,0,1,1,702900,0,0,1,1
53,0 0 1 10 1,0 0 1 10 1,53,0,0,0,1,1,666400,0,0,1,1
54,0 0 1 11 0,0 0 1 11 0,54,1,1,2.356e+06,1,1,612600,0,0,1,1
55,0 0 1 11 1,0 0 1 11 1,55,0,0,0,1,1,673500,0,0,1,1
56,0 0 1 12 0,0 0 1 12 0,56,1,1,2.356e+06,2,2,3.0848e+06,0,0,1,1
57,0 0 1 12 1,0 0 1 12 1,57,0,0,0,1,1,712200,0,0,1,1
58,0 0 1 13 0,0 0 1 13 0,58,1,1,2.356e+06,2,2,2.9953e+06,0,0,1,1
59,0 0 1 13 1,0 0 1 13 1,59,0,0,0,1,1,620000,0,0,1,1
60,0 0 1 14 0,0 0 1 14 0,60,1,1,2.356e+06,2,2,3.0508e+06,0,0,1,1
61,0 0 1 14 1,0 0 1 14 1,61,0,0,0,1,1,668200,0,0,1,1
62,0 0 1 15 0,0 0 1 15 0,62,1,1,2.356e+06,2,2,2.9882e+06,0,0,1,1
63,0 0 1 15 1,0 0 1 15 1,63,0,0,0,1,1,667300,0,0,1,1
64,0 0 2 0 0,0 0 2 0 0,64,1,3,7.921e+06,2,3,6.0127e+06,0,0,1,1
65,0 0 2 0 1,0 0 2 0 1,65,1,2,5.187e+06,2,3,5.9192e+06,0,0,1,1
66,0 0 2 1 0,0 0 2 1 0,66,1,2,5.353e+06,2,3,6.0209e+06,0,0,1,1
67,0 0 2 1 1,0 0 2 1 1,67,1,2,5.187e+06,2,3,5.8433e+06,0,0,1,1
68,0 0 2 2 0,0 0 2 2 0,68,1,2,5.353e+06,2,3,6.0224e+06,0,0,1,1
69,0 0 2 2 1,0 0 2 2 1,69,1,2,5.187e+06,2,3,5.8927e+06,0,0,1,1
70,0 0 2 3 0,0 0 2 3 0,70,1,2,5.353e+06,2,3,6.0189e+06,0,0,1,1
71,0 0 2 3 1,0 0 2 3 1,71,1,2,5.187e+06,2,3,5.8683e+06,0,0,1,1
72,0 0 2 4 0,0 0 2 4 0,72,1,2,5.353e+06,1,1,729600,0,0,1,1
73,0 0 2 4 1,0 0 2 4 1,73,1,2,5.187e+06,2,2,3.3605e+06,0,0,1,1
74,0 0 2 5 0,0 0 2 5 0,74,1,1,2.442e+06,1,1,627000,0,0,1,1
75,0 0 2 5 1,0 0 2 5 1,75,0,0,0,1,1,675900,0,0,1,1
76,0 0 2 6 0,0 0 2 6 0,76,1,2,4.819e+06,2,2,3.1345e+06,0,0,1,1
77,0 0 2 6 1,0 0 2 6 1,77,1,2,4.792e+06,1,1,672300,0,0,1,1
78,0 0 2 7 0,0 0 2 7 0,78,1,2,4.819e+06,2,3,5.4861e+06,0,0,1,1
79,0 0 2 7 1,0 0 2 7 1,79,1,2,4.792e+06,2,3,5.4884e+06,0,0,1,1
80,0 0 2 8 0,0 0 2 8 0,80,1,2,4.819e+06,2,3,5.5092e+06,0,0,1,1
81,0 0 2 8 1,0 0 2 8 1,81,1,3,7.283e+06,2,3,5.5491e+06,0,0,1,1
82,0 0 2 9 0,0 0 2 9 0,82,1,2,4.819e+06,2,3,5.4799e+06,0,0,1,1
83,0 0 2 9 1,0 0 2 9 1,83,1,3,7.283e+06,2,4,7.9384e+06,0,0,1,1
84,0 0 2 10 0,0 0 2 10 0,84,1,3,7.115e+06,2,3,7.387e+06,0,0,1,1
85,0 0 2 10 1,0 0 2 10 1,85,1,3,7.283e+06,2,4,9.836e+06,0,0,1,1
86,0 0 2 11 0,0 0 2 11 0,86,2,3,7.241e+06,2,4,9.683e+06,0,0,1,1
87,0 0 2 11 1,0 0 2 11 1,87,2,3,7.441e+06,2,4,9.836e+06,0,0,1,1
88,0 0 2 12 0,0 0 2 12 0,88,2,3,7.241e+06,2,4,9.949e+06,0,0,1,1
89,0 0 2 12 1,0 0 2 12 1,89,3,4,8.1092e+06,3,5,1.07682e+07,0,0,1,1
90,0 0 2 13 0,0 0 2 13 0,90,3,4,8.2681e+06,3,5,1.06451e+07,0,0,1,1
91,0 0 2 13 1,0 0 2 13 1,91,3,4,8.417e+06,3,5,1.0814e+07,0,0,1,1
92,0 0 2 14 0,0 0 2 14 0,92,3,4,8.2347e+06,3,5,1.08797e+07,0,0,1,1
93,0 0 2 14 1,0 0 2 14 1,93,3,4,8.3366e+06,3,5,1.08646e+07,0,0,1,1
94,0 0 2 15 0,0 0 2 15 0,94,2,4,8.6003e+06,3,5,1.08963e+07,0,0,1,1
95,0 0 2 15 1,0 0 2 15 1,95,2,4,8.4088e+06,3,4,8.3468e+06,0,0,1,1
96,0 0 3 0 0,0 0 3 0 0,96,3,5,1.0917e+07,3,6,1.7742e+07,0,0,1,1
97,0 0 3 0 1,0 0 3 0 1,97,2,4,8.5763e+06,2,4,8.7383e+06,0,0,1,1
98,0 0 3 1 0,0 0 3 1 0,98,2,5,1.53095e+07,3,6,1.77695e+07,0,0,1,1
99,0 0 3 1 1,0 0 3 1 1,99,2,4,8.768e+06,2,5,1.5633e+07,0,0,1,1
100,0 0 3 2 0,0 0 3 2 0,100,6,10,3.72616e+07,3,5,2.38111e+07,6,6,1,1
101,0 0 3 2 1,0 0 3 2 1,101,5,9,3.06689e+07,3,6,2.24728e+07,6,6,1,1
102,0 0 3 3 0,0 0 3 3 0,102,6,7,2.50079e+07,4,4,2.11962e+07,5,5,1,1
103,0 0 3 3 1,0 0 3 3 1,103,6,8,1.92662e+07,3,3,1.02443e+07,5,5,1,1
104,0 0 3 4 0,0 0 3 4 0,104,6,6,2.26599e+07,4,4,2.11715e+07,5,5,1,1
105,0 0 3 4 1,0 0 3 4 1,105,7,7,1.66868e+07,4,4,1.26395e+07,5,5,1,1
106,0 0 3 5 0,0 0 3 5 0,106,6,7,2.49485e+07,4,4,2.12853e+07,5,5,1,1
107,0 0 3 5 1,0 0 3 5 1,107,6,7,1.63429e+07,4,4,1.251e+07,5,5,1,1
108,0 0 3 6 0,0 0 3 6 0,108,6,7,2.5036e+07,3,4,1.68384e+07,5,5,1,1
109,0 0 3 6 1,0 0 3 6 1,109,6,7,1.62711e+07,4,5,1.50101e+07,5,5,1,1
110,0 0 3 7 0,0 0 3 7 0,110,5,6,1.36088e+07,2,3,1.00114e+07,5,5,1,1
111,0 0 3 7 1,0 0 3 7 1,111,5,6,9.5377e+06,4,5,1.48912e+07,5,5,1,1
112,0 0 3 8 0,0 0 3 8 0,112,4,6,1.99855e+07,2,4,1.8592e+07,4,4,1,1
113,0 0 3 8 1,0 0 3 8 1,113,6,8,2.54225e+07,2,3,1.1596e+07,6,6,1,1
114,0 0 3 9 0,0 0 3 9 0,114,4,5,1.29873e+07,1,3,1.1739e+07,5,5,1,1
115,0 0 3 9 1,0 0 3 9 1,115,4,6,9.1969e+06,3,4,1.22166e+07,3,3,1,1
116,0 0 3 10 0,0 0 3 10 0,116,4,6,9.2654e+06,3,4,8.132e+06,3,3,1,1
117,0 0 3 10 1,0 0 3 10 1,117,4,6,9.256e+06,3,5,1.04121e+07,3,3,1,1
118,0 0 3 11 0,0 0 3 11 0,118,5,7,1.18245e+07,3,5,1.0504e+07,3,3,1,1
119,0 0 3 11 1,0 0 3 11 1,119,5,6,9.4953e+06,3,5,1.05279e+07,3,3,1,1
