59 63 51,4,2.7704e+06,32,2.16857e+07
6 2 14 62,7,4.7227e+06,7,4.7227e+06
56 60 48 0,8,5.2663e+06,32,2.14682e+07
23 19 31 15,8,5.482e+06,32,2.15654e+07
1 1 1 1 1 1 1,3,7.443e+06,19,4.7045e+07
61 57 53 5,11,7.4662e+06,32,2.15216e+07
0 4 8 56,12,8.0808e+06,12,8.0808e+06
11 11 11 11 11 11,4,1.0038e+07,22,5.5225e+07
24 28 16 32,16,1.07442e+07,16,1.07442e+07
8 12 0,20,1.34201e+07,20,1.34201e+07
2 6 10 58,20,1.36643e+07,20,1.36643e+07
61 57 53,21,1.40554e+07,32,2.15216e+07
7 3 15 63,23,1.55908e+07,23,1.55908e+07
39 35 47 31,24,1.60594e+07,24,1.60594e+07
23 19 31,24,1.60834e+07,32,2.15654e+07
56 60 48,24,1.62019e+07,32,2.14682e+07
30 26 22 38,24,1.62966e+07,24,1.62966e+07
59 63 51 3,28,1.89153e+07,32,2.16857e+07
11 15 3,28,1.90125e+07,28,1.90125e+07
1 5 9 57,29,1.94506e+07,29,1.94506e+07
39 39 39 39 39 39,8,2.0064e+07,45,1.12729e+08
30 30 30 30 30 30,8,2.0086e+07,43,1.0782e+08
63 59 55,32,2.14743e+07,32,2.14743e+07
22 18 30 14,32,2.14807e+07,32,2.14807e+07
40 44 32,32,2.15039e+07,32,2.15039e+07
58 62 50,32,2.15302e+07,32,2.15302e+07
55 51 63 47,32,2.15439e+07,32,2.15439e+07
16 20 24 8,32,2.1547e+07,32,2.1547e+07
45 41 37,32,2.15643e+07,32,2.15643e+07
27 31 19 35,32,2.15872e+07,32,2.15872e+07
47 43 39,32,2.15899e+07,32,2.15899e+07
44 40 36,32,2.15923e+07,32,2.15923e+07
28 24 20 36,32,2.15945e+07,32,2.15945e+07
15 11 7,32,2.16004e+07,32,2.16004e+07
52 48 60 44,32,2.16005e+07,32,2.16005e+07
53 49 61 45,32,2.16064e+07,32,2.16064e+07
19 23 27 11,32,2.16102e+07,32,2.16102e+07
60 56 52 4,32,2.16122e+07,32,2.16122e+07
13 9 5,32,2.16259e+07,32,2.16259e+07
49 53 57 41,32,2.16371e+07,32,2.16371e+07
51 55 59 43,32,2.16645e+07,32,2.16645e+07
42 46 34,32,2.16726e+07,32,2.16726e+07
41 45 33,32,2.16775e+07,32,2.16775e+07
50 54 58 42,32,2.16827e+07,32,2.16827e+07
12 8 4,32,2.16936e+07,32,2.16936e+07
48 52 56 40,32,2.17024e+07,32,2.17024e+07
18 22 26 10,32,2.17256e+07,32,2.17256e+07
57 61 49,32,2.17335e+07,32,2.17335e+07
62 58 54,32,2.17405e+07,32,2.17405e+07
46 42 38,32,2.17463e+07,32,2.17463e+07
26 30 18 34,32,2.17603e+07,32,2.17603e+07
20 16 28 12,32,2.17619e+07,32,2.17619e+07
29 25 21 37,32,2.17676e+07,32,2.17676e+07
14 10 6,32,2.17691e+07,32,2.17691e+07
21 17 29 13,32,2.17734e+07,32,2.17734e+07
17 21 25 9,32,2.17846e+07,32,2.17846e+07
25 29 17 33,32,2.17917e+07,32,2.17917e+07
54 50 62 46,32,2.18036e+07,32,2.18036e+07
43 47 35,32,2.18234e+07,32,2.18234e+07
7 7 7 7 7 7 7 7 7,9,2.2127e+07,56,1.38278e+08
6 6 6 6 6 6 6 6 6,9,2.2384e+07,164,4.10537e+08
2 2 2 2 2 2 2 2,12,3.0059e+07,76,1.91109e+08
24 24 24 24 24 24 24,16,3.9797e+07,87,2.1626e+08
36 36 36 36 36 36,16,4.017e+07,179,4.49373e+08
36 36 36 36 36 36 36,16,4.0197e+07,179,4.49373e+08
33 33 33 33 33 33 33,16,4.0221e+07,191,4.8011e+08
5 5 5 5 5 5 5,16,4.0229e+07,209,5.25806e+08
9 9 9 9 9 9 9,16,4.0247e+07,210,5.26954e+08
6 6 6 6 6 6 6,16,4.0254e+07,164,4.10537e+08
35 35 35 35 35 35 35,16,4.0259e+07,177,4.44287e+08
37 37 37 37 37 37,16,4.0261e+07,173,4.35286e+08
10 10 10 10 10 10 10,16,4.0266e+07,200,5.03096e+08
37 37 37 37 37 37,16,4.0275e+07,173,4.35286e+08
34 34 34 34 34 34,16,4.0278e+07,186,4.69682e+08
9 9 9 9 9 9 9,16,4.0284e+07,210,5.26954e+08
35 35 35 35 35 35,16,4.0286e+07,177,4.44287e+08
5 5 5 5 5 5 5 5 5,16,4.0288e+07,209,5.25806e+08
38 38 38 38 38 38,16,4.0301e+07,182,4.59653e+08
38 38 38 38 38 38,16,4.0312e+07,182,4.59653e+08
4 4 4 4 4 4 4,16,4.0323e+07,209,5.2769e+08
33 33 33 33 33 33,16,4.0324e+07,191,4.8011e+08
10 10 10 10 10 10 10,16,4.0324e+07,200,5.03096e+08
4 4 4 4 4 4 4,16,4.0325e+07,209,5.2769e+08
34 34 34 34 34 34,16,4.0327e+07,186,4.69682e+08
8 8 8 8 8 8 8,12,6.0045e+07,44,1.53145e+08
0 0 0 0 0 0 0 0 0,20,1.01159e+08,78,2.93158e+08
32 32 32 32 32 32,32,1.48487e+08,118,4.13581e+08
31 31 31 31 31 31,32,1.57975e+08,101,3.78521e+08
3 3 3 3 3 3 3,32,1.58512e+08,120,4.32583e+08
