0,0 0 0,0 0 0 0 0;0 0 0 0 1;0 0 0 1 0;0 0 0 1 1,0 1 2 3,4,53,2.325e+10,4,26,2.32499e+10,8,34,2,7
1,0 0 1,0 0 1 0 0;0 0 1 1 1;0 0 1 1 0;0 0 1 0 1,4 5 6 7,2,9,1.52597e+10,2,13,1.52594e+10,2,4,3,8
2,0 1 0,0 1 0 0 0;0 1 0 0 1;0 1 0 1 0;0 1 0 1 1,8 9 10 11,3,14,1.16244e+10,3,18,1.16244e+10,2,4,3,8
3,0 1 1,0 1 1 0 0;0 1 1 1 0;0 1 1 1 1;0 1 1 0 1,12 13 14 15,2,9,1.01714e+10,2,13,1.01718e+10,2,4,3,8
4,1 0 0,1 0 0 1 0;1 0 0 1 1;1 0 0 0 1;1 0 0 0 0,16 17 18 19,4,22,6.54031e+09,4,26,6.54032e+09,2,4,3,8
5,1 0 1,1 0 1 1 0;1 0 1 1 1;1 0 1 0 1;1 0 1 0 0,20 21 22 23,2,9,5.0869e+09,2,13,5.08691e+09,2,4,3,8
6,1 1 0,1 1 0 0 0;1 1 0 0 1;1 1 0 1 1;1 1 0 1 0,24 25 26 27,3,13,5.81361e+09,3,17,5.81361e+09,2,4,3,8
7,1 1 1,1 1 1 1 0;1 1 1 1 1;1 1 1 0 0;1 1 1 0 1,28 29 30 31,2,8,5.0869e+09,2,11,5.0869e+09,2,4,2,7
